Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD,Airport
MOR25666,1. Seizure,India,10/4/2019 0:00,"77kg of sandalwood at the Chhatrapati Shivaji Maharaj International Airport, one Sudanese national",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,77.0,Kilograms,,,,Chhatrapati Shivaji Maharaj International Airport
MOR25667,1. Seizure,India,10/4/2019 0:00,"10kg sandalwood chips seized at Chhatrapati Shivaji Maharaj International Airport, one suspect",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,10.0,Kilograms,,,,Chhatrapati Shivaji Maharaj International Airport
MOR25673,1. Seizure,India,10/8/2019 0:00,"6.4 kg of sandalwood at Indira Gandhi International Airport, one Chinese national arrested",Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,2.0,6.400000095,Kilograms,,,,Indira Gandhi International Airport
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Hydrosaurus,Sailfin Lizard,Individual - Live,4.0,,,,,,Chennai International Airport
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Morelia viridis,"Green Tree Python, Python arboricole vert australien",Individual - Live,1.0,,,,,,Chennai International Airport
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Morelia amethistina,"Amethystine (Rock) Python, Scrub Python, Pitón ametista, Python améthiste, Python de la brousse, Python des rochers",Individual - Live,1.0,,,,,,Chennai International Airport
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus beccarii,"Black Tree Monitor, Varano arborícola negro, Varan arboricole noir",Individual - Live,2.0,,,,,,Chennai International Airport
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Varanus prasinus,"Emerald Monitor, Varano verde, Varan émeraude",Individual - Live,5.0,,,,,,Chennai International Airport
MOR25799,1. Seizure,Kenya,10/15/2019 0:00,"1 ivory bangle (60g) seized at Jomo Kenyatta Airport, Kenya - 1 Chinese national arrested",Elephantidae,Elephants,Ivory - Worked,1.0,0.059999999,Kilograms,,,,Jomo Kenyatta International Airport
MOR25814,1. Seizure,India,10/15/2019 0:00,13 parrots seized at Indira Gandhi International Airport - 1 arrested,Psittacidae,"Amazons, Macaws, Parakeets, Parrots, Amazonas, Cotorras, Guacamayos, Periquitos, Loros, Amazones, Aras, Perruches, Perroquets",Individual - Live,13.0,,,,,,Indira Gandhi International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus malabaricus,White-rumped Shama,Individual - Live,1.0,,,,,,Kualanamu International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Chloropsis sonnerati,Greater Green Leafbird,Individual - Live,7.0,,,,,,Kualanamu International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Chloropsis sonnerati,Greater Green Leafbird,Individual - Dead,1.0,,,,,,Kualanamu International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus saularis,Oriental Magpie-Robin,Individual - Live,11.0,,,,,,Kualanamu International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Copsychus saularis,Oriental Magpie-Robin,Individual - Dead,6.0,,,,,,Kualanamu International Airport
MOR25970,1. Seizure,Indonesia,10/17/2019 0:00,108 birds meant to be sent to China seized at Kualanamu Airport - 3 people arrested,Saxicola caprata,Pied Bush Chat,Individual - Live,3.0,,,,,,Kualanamu International Airport
MOR27413,1. Seizure,China,10/9/2019 0:00,1 ivory carving (0.0303kg) seized at Lanzhou Zhongchuan Airport,Elephantidae,Elephants,Ivory - Worked,1.0,0.030300001,Kilograms,,,,Lanzhou Zhongchuan International Airport
MOR27416,1. Seizure,India,10/3/2019 0:00,"211 sea cucumbers seized at Tiruchy International Airport, one suspect",Holothuroidea,Sea Cucumber,Individual - Dead,211.0,,,,,,Tiruchy International Airport
MOR27420,1. Seizure,China,10/18/2019 0:00,"32 animal products including skins and horns seized at Chengdu Shuangliu Airport, three Chinese suspects",Elephantidae,Elephants,Ivory - Worked,1.0,,,,,,Chengdu Shuangliu International Airport
MOR27420,1. Seizure,China,10/18/2019 0:00,"32 animal products including skins and horns seized at Chengdu Shuangliu Airport, three Chinese suspects",Antidorcas marsupialis,Springbok,Skin,4.0,,,,,,Chengdu Shuangliu International Airport
MOR27422,1. Seizure,China,10/18/2019 0:00,"One ivory bracelet weighing 0.034kg seized at Chengdu Shuangliu Airport, one suspect",Elephantidae,Elephants,Ivory - Worked,1.0,0.034000002,Kilograms,,,,Chengdu Shuangliu International Airport
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Hydrosaurus pustulatus,Philippine Sailfin Lizard,Individual - Live,85.0,,,,,,Soekarno-Hatta International Airport
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Morelia amethistina,"Amethystine (Rock) Python, Scrub Python, Pitón ametista, Python améthiste, Python de la brousse, Python des rochers",Individual - Live,3.0,,,,,,Soekarno-Hatta International Airport
MOR28857,1. Seizure,Indonesia,6/4/2020 0:00,153 reptiles seized at Soekarno-Hatta Airport - 2 people arrested,Candoia carinata,"Bevel-nosed Boa, New Guinea Bevel-nosed Boa, Solomon Ground Boa, Tree Boa, Boa del Pacífico, Boa nain à carènes, Boa nain des Salomon",Individual - Live,20.0,,,,,,Soekarno-Hatta International Airport
MOR28987,1. Seizure,Mexico,4/1/2020 0:00,Crocodile skins seized at San Luis Potosí International Airport,Crocodylus moreletii,"Belize Crocodile, Morelet's Crocodile, Caimán de Morelet, Cocodrilo de Morelet, Crocodile de Morelet",Skin,,42.41999817,Kilograms,,,,San Luis Potosí International Airport
MOR28991,1. Seizure,Mexico,4/1/2020 0:00,African lion cub seized at Oaxaca International Airport,Panthera leo,"Lion, León, Lion d'Afrique",Individual - Live,1.0,,,,,,Oaxaca International Airport
MOR28999,1. Seizure,Mexico,4/16/2020 0:00,One Californian king snake seized at Ciudad Juárez Airport,Lampropeltis californiae,"Black Desert Kingsnake, California Kingsnake",Individual - Live,1.0,,,,,,Ciudad Juárez International Airport
MOR29000,1. Seizure,Mexico,4/17/2020 0:00,16 bird claws and complete foot seized at Ciudad Juárez International Airport,Buteo jamaicensis,"Red-tailed Hawk, Aguililla colirroja, Busardo colirrojo, Guaraguao, Buse à queue rousse",Body parts NES,16.0,,,,,,Ciudad Juárez International Airport
MOR29000,1. Seizure,Mexico,4/17/2020 0:00,16 bird claws and complete foot seized at Ciudad Juárez International Airport,Buteo jamaicensis,"Red-tailed Hawk, Aguililla colirroja, Busardo colirrojo, Guaraguao, Buse à queue rousse",Body parts NES,1.0,,,,,,Ciudad Juárez International Airport
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport",Anodorhynchus hyacinthinus,"Hyacinth Macaw, Guacamayo azul, Guacamayo jacinto, Ara bleu, Ara hyacinthe, Ara jacinthe",Individual - Live,22.0,,,,,,Kolkata Airport
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport",Psittrichas fulgidus,"Pesquet's Parrot, Vulturine Parrot, Loro aguileño, Psittrichas de Pesquet",Individual - Live,22.0,,,,,,Kolkata Airport
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport",Ara severus,"Chestnut-fronted Macaw, Severe Macaw, Guacamayo severo, Ara sévère, Ara vert",Individual - Live,22.0,,,,,,Kolkata Airport
MOR29111,1. Seizure,India,6/21/2020 0:00,"22 exotic birds seized in the consignment in the airport's cargo area, Kolkata Airport",Diopsittaca nobilis,"Hahn's Macaw, Noble Macaw, Red-shouldered Macaw, Guacamayo enano, Guacamayo noble, Ara noble, Petit perruche-ara",Individual - Live,22.0,,,,,,Kolkata Airport
MOR29220,1. Seizure,United States of America,7/1/2020 0:00,"One canine skull, one sheep skull, various other bones, unknown mammal skins seized at the George Bush Intercontinental Airport",Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Shapo, Shapu, Urial",Skull,1.0,,,,,,George Bush Intercontinental Airport
MOR29331,1. Seizure,South Africa,7/14/2020 0:00,41 pieces of rhino horns and abalone seized at O.R Tambo International Airport warehouse,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,41.0,,,115000000.0,ZAR South African Rand,6863250.0,O.R. Tambo International Airport
MOR29331,1. Seizure,South Africa,7/14/2020 0:00,41 pieces of rhino horns and abalone seized at O.R Tambo International Airport warehouse,Haliotis,Abalone,Individual - Dead,,,,1000000.0,ZAR South African Rand,59680.5,O.R. Tambo International Airport
MOR29358,1. Seizure,South Africa,7/13/2020 0:00,47kg of Rhino horns seized at O.R Tambo International Airport cargo,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,,47.0,Kilograms,3000000.0,ZAR South African Rand,179158.0,O.R. Tambo International Airport
MOR29868,1. Seizure,Indonesia,8/16/2020 0:00,200 oriental magpie robins seized at Adi Sumarmo Airport - one person arrested,Copsychus saularis,Oriental Magpie-Robin,Individual - Live,200.0,,,,,,Adi Sumarmo Airport
MOR30270,1. Seizure,Mexico,5/1/2020 0:00,Leopard gecko and ball python seized at Ponciano Arriaga International Airport,Python regius,"Ball Python, Royal Python, Pitón real, Python royal",Individual - Live,1.0,,,,,,Ponciano Arriaga International Airport
MOR30270,1. Seizure,Mexico,5/1/2020 0:00,Leopard gecko and ball python seized at Ponciano Arriaga International Airport,Eublepharis macularius,Common Leopard Gecko,Individual - Live,1.0,,,,,,Ponciano Arriaga International Airport
MOR30271,1. Seizure,Mexico,5/15/2020 0:00,34 crocodile skin pieces seized at Ponciano Arriaga International Airport,Crocodylia,"Alligators, Caimans, Crocodiles, Aligatores, Caimanes, Cocodrilos, Crocodiles, Alligators, Caïmans",Skin - Pieces,34.0,,,,,,Ponciano Arriaga International Airport
MOR30272,1. Seizure,Mexico,5/15/2020 0:00,4 abronia lizards seized at Ponciano Arriaga International Airport,Abronia,Arboreal Alligator Lizard,Individual - Live,4.0,,,,,,Ponciano Arriaga International Airport
MOR30273,1. Seizure,Mexico,5/6/2020 0:00,10 Leopard geckos seized at San Luis Potosí International Airport,Eublepharis macularius,Common Leopard Gecko,Individual - Live,10.0,,,,,,San Luis Potosí International Airport
MOR30276,1. Seizure,China,5/11/2020 0:00,Ivory scroll heads seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,2.0,0.050000001,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30277,1. Seizure,Mexico,5/12/2020 0:00,"15,053 turtles seized at Mexico City Airport",Staurotypus triporcatus,Mexican Giant Musk Turtle,Individual - Live,14793.0,,,,,,Mexico City International Airport
MOR30277,1. Seizure,Mexico,5/12/2020 0:00,"15,053 turtles seized at Mexico City Airport",Claudius angustatus,Narrow-bridged Musk Turtle,Individual - Live,14793.0,,,,,,Mexico City International Airport
MOR30277,1. Seizure,Mexico,5/12/2020 0:00,"15,053 turtles seized at Mexico City Airport",Kinosternon leucostomum,White-lipped Mud Turtle,Individual - Live,14793.0,,,,,,Mexico City International Airport
MOR30279,1. Seizure,Indonesia,5/31/2020 0:00,Two vipers and eight lizards sezied at Depati Amir Airport,Tropidolaemus wagleri,"Temple pitviper, Wagler's Palm Viper, Wagler's Pit Viper",Individual - Live,1.0,,,,,,Depati Amir Airport
MOR30279,1. Seizure,Indonesia,5/31/2020 0:00,Two vipers and eight lizards sezied at Depati Amir Airport,Tropidolaemus wagleri,"Temple pitviper, Wagler's Palm Viper, Wagler's Pit Viper",Individual - Live,1.0,,,,,,Depati Amir Airport
MOR30279,1. Seizure,Indonesia,5/31/2020 0:00,Two vipers and eight lizards sezied at Depati Amir Airport,Leiolepis belliana,Common Butterfly Lizard,Individual - Live,8.0,,,,,,Depati Amir Airport
MOR30281,1. Seizure,China,6/5/2020 0:00,4 live snakes seized at Guangzhou Airport,Gonyosoma oxycephalum,Red-tailed Green Ratsnake,Individual - Live,4.0,,,,,,Guangzhou Baiyun International Airport
MOR30282,1. Seizure,Hong Kong,6/4/2020 0:00,"160 kg of Totoaba swim bladders seized at Hong Kong International Airport, five suspects arrested",Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Swim Bladder,,160.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR30283,1. Seizure,China,6/15/2020 0:00,2 ivory scroll heads seized at Qingdao Liuting Airport,Elephantidae,Elephants,Ivory - Worked,2.0,0.100000001,Kilograms,,,,Qingdao Liuting International Airport
MOR30286,1. Seizure,Mexico,6/1/2020 0:00,One live Emerald boa seized at Monterrey International Airport,Corallus caninus,"Emerald Tree Boa, Boa esmeralda, Boa canin, Boa émeraude, Faux jacquot",Individual - Live,1.0,,,,,,Monterrey International Airport
MOR30293,1. Seizure,China,7/14/2020 0:00,"Ivory product seized at Changbei Airport, two suspects",Elephantidae,Elephants,Ivory - Worked,1.0,,,,,,Jiangbei International Airport
MOR30299,1. Seizure,China,7/31/2020 0:00,11 ivory carvings weighing 700 grams seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,11.0,0.699999988,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30299,1. Seizure,China,7/31/2020 0:00,11 ivory carvings weighing 700 grams seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,11.0,0.699999988,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30301,1. Seizure,Mexico,7/1/2020 0:00,42 totoaba swim bladders and 27 sea cucumber seized at Querétaro Intercontinental Airport,Holothuroidea,Sea Cucumber,Individual - Dead,27.0,,,,,,Querétaro Intercontinental Airport
MOR30301,1. Seizure,Mexico,7/1/2020 0:00,42 totoaba swim bladders and 27 sea cucumber seized at Querétaro Intercontinental Airport,Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Swim Bladder,42.0,,,,,,Querétaro Intercontinental Airport
MOR30303,1. Seizure,Senegal,10/5/2020 0:00,"16 sperm whale iteeth and 38.5 kg of dried fins and intestines of bigeye tuna seized at at Blaise Diagne International Airport, two Chinese nationals arrested",Thunnus obesus,"Big eye, Big eye tuna, Big eye tunny, Bigeye, Bigeye tuna, Bigeye tuna fish, Bigeye, Blackfin tuna (…)",Body parts NES,,35.0,Kilograms,,,,Blaise Diagne International Airport
MOR30303,1. Seizure,Senegal,10/5/2020 0:00,"16 sperm whale iteeth and 38.5 kg of dried fins and intestines of bigeye tuna seized at at Blaise Diagne International Airport, two Chinese nationals arrested",Thunnus obesus,"Big eye, Big eye tuna, Big eye tunny, Bigeye, Bigeye tuna, Bigeye tuna fish, Bigeye, Blackfin tuna (…)",Fins,,35.0,Kilograms,,,,Blaise Diagne International Airport
MOR30303,1. Seizure,Senegal,10/5/2020 0:00,"16 sperm whale iteeth and 38.5 kg of dried fins and intestines of bigeye tuna seized at at Blaise Diagne International Airport, two Chinese nationals arrested",Physeter macrocephalus,"Cachalot, Cachelot, Pot Whale, Spermacet Whale, Sperm Whale, Ballena esperma, Cachalote, Cachalot",Teeth,16.0,,,,,,Blaise Diagne International Airport
MOR30345,1. Seizure,Taiwan Province of China,8/10/2020 0:00,"161 kg of dried totoaba swim bladders seized at Taiwan Taoyuan International Airport, one suspect",Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Swim Bladder,,161.0,Kilograms,,,,Taiwan Taoyuan International Airport
MOR30349,1. Seizure,China,8/19/2020 0:00,"11 ivory carvings weighing 0.9 kg seized at Guangzhou Baiyun Airport, six Chinese nationals",Elephantidae,Elephants,Ivory - Worked,11.0,0.899999976,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30350,1. Seizure,China,8/21/2020 0:00,"Six ivory products weighing 0.4 kg seized at Guangzhou Baiyun Airport, three male suspects",Elephantidae,Elephants,Ivory - Worked,6.0,0.400000006,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30366,1. Seizure,China,8/26/2020 0:00,3 pieces of ivory billiard cues seized at Ningbo Airport,Elephantidae,Elephants,Ivory - Worked,3.0,0.209999993,Kilograms,,,,Ningbo Airport
MOR30368,1. Seizure,China,8/26/2020 0:00,Python handbag seized at Ningbo Airport,Pythonidae,"Pythons, Pitones",Skin - Leather Product,1.0,,,,,,Ningbo Airport
MOR30374,1. Seizure,China,10/15/2020 0:00,"Sika deer antlers seized at Dalian Zhoushuizi Airport, one suspect",Cervus nippon,Sika Deer,Horn,,0.569999993,Kilograms,,,,Dalian Zhoushuizi International Airport
MOR30376,1. Seizure,China,9/1/2020 0:00,Product made from boa constrictor skin seized at Guangzhou Baiyun Airport,Boa constrictor,"Ampalagua, Boa Constrictor, Giboya, Masacuate",Skin - Leather Product,1.0,,,,,,Guangzhou Baiyun International Airport
MOR30430,1. Seizure,United States of America,7/10/2020 0:00,58 live cactus plants seized at  Washington Dulles International Airport,Acanthocereus tetragonus,"Barbwire Apple-cactus, Liane-raquette",Individual - Live,58.0,,,,,,Washington Dulles International Airport
MOR30430,1. Seizure,United States of America,7/10/2020 0:00,58 live cactus plants seized at  Washington Dulles International Airport,Lophophora williamsii,Peyote,Individual - Live,6.0,,,,,,Washington Dulles International Airport
MOR30430,1. Seizure,United States of America,7/10/2020 0:00,58 live cactus plants seized at  Washington Dulles International Airport,Obregonia denegrii,"Artichoke Cactus, Cacto alcachofa",Individual - Live,58.0,,,,,,Washington Dulles International Airport
MOR30430,1. Seizure,United States of America,7/10/2020 0:00,58 live cactus plants seized at  Washington Dulles International Airport,Astrophytum asterias,"Star Cactus, Cacto Estrella",Individual - Live,58.0,,,,,,Washington Dulles International Airport
MOR30431,1. Seizure,United States of America,7/13/2020 0:00,107 live plants seized at Washington Dulles International Airport,Acanthocereus tetragonus,"Barbwire Apple-cactus, Liane-raquette",Individual - Live,107.0,,,,,,Washington Dulles International Airport
MOR30431,1. Seizure,United States of America,7/13/2020 0:00,107 live plants seized at Washington Dulles International Airport,Obregonia denegrii,"Artichoke Cactus, Cacto alcachofa",Individual - Live,107.0,,,,,,Washington Dulles International Airport
MOR30431,1. Seizure,United States of America,7/13/2020 0:00,107 live plants seized at Washington Dulles International Airport,Astrophytum asterias,"Star Cactus, Cacto Estrella",Individual - Live,107.0,,,,,,Washington Dulles International Airport
MOR30602,1. Seizure,China,10/1/2020 0:00,Ivory product seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,1.0,,,,,,Guangzhou Baiyun International Airport
MOR30614,1. Seizure,Mexico,10/1/2020 0:00,"187 Totoaba swim bladders seized at Mexico City International Airport, one suspect arrested",Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Swim Bladder,187.0,,,43562528.0,MXN Mexican Peso,2076820.0,Mexico City International Airport
MOR30838,1. Seizure,China,10/10/2020 0:00,3 strings of ivory beads and 4 ivory carvings seized at Guangzhou Baiyun International Airport coming from Kenya,Elephantidae,Elephants,Ivory - Worked,3.0,0.209,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30838,1. Seizure,China,10/10/2020 0:00,3 strings of ivory beads and 4 ivory carvings seized at Guangzhou Baiyun International Airport coming from Kenya,Elephantidae,Elephants,Ivory - Worked,4.0,0.209,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30839,1. Seizure,China,10/7/2020 0:00,18 ivory cravings (620 g) seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,18.0,0.62,Kilograms,,,,Guangzhou Baiyun International Airport
MOR30980,1. Seizure,Mozambique,11/9/2020 0:00,"5 rhino horn (4.3 kg), 127 lion claws and 36 lion teeth seized at Maputo International Airport, one Vietnamese national arrested",Panthera leo,"Lion, León, Lion d'Afrique",Teeth,36.0,,,,,,Maputo International Airport
MOR30980,1. Seizure,Mozambique,11/9/2020 0:00,"5 rhino horn (4.3 kg), 127 lion claws and 36 lion teeth seized at Maputo International Airport, one Vietnamese national arrested",Panthera leo,"Lion, León, Lion d'Afrique",Claw,127.0,,,,,,Maputo International Airport
MOR30980,1. Seizure,Mozambique,11/9/2020 0:00,"5 rhino horn (4.3 kg), 127 lion claws and 36 lion teeth seized at Maputo International Airport, one Vietnamese national arrested",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,5.0,4.3,Kilograms,,,,Maputo International Airport
MOR31057,1. Seizure,United States of America,10/9/2020 0:00,Two yellow canaries seized at Washington Dulles International Airport,Crithagra flaviventris,Yellow Canary,Individual - Live,2.0,,,,,,Washington Dulles International Airport
MOR31198,1. Seizure,China,9/21/2020 0:00,80 South American river rays seized at Xiamen Airport,Potamotrygon motoro,"Black river stingray, Ocellate sting ray, South American freshwater stingray",Individual - Live,80.0,,,,,,Xiamen Gaoqi International Airport
MOR31200,1. Seizure,China,9/3/2020 0:00,"One crocodile skin belt and a python skin bag seized at Sunan Shuofang International Airport, one suspect",Crocodylia,"Alligators, Caimans, Crocodiles, Aligatores, Caimanes, Cocodrilos, Crocodiles, Alligators, Caïmans",Skin - Leather Product,1.0,,,,,,Sunan Shuofang International Airport
MOR31207,1. Seizure,China,9/13/2020 0:00,"One ivory necklace (67.4 grams) seized at Fuzhou Changle Airport, one suspect",Elephantidae,Elephants,Ivory - Worked,1.0,0.067400001,Kilograms,,,,Fuzhou Changle International Airport
MOR31209,1. Seizure,China,9/9/2020 0:00,One ivory necklace and one bracelet (total 175.4 grams) seized at Xiamen Airport,Elephantidae,Elephants,Ivory - Worked,1.0,0.175400004,Kilograms,,,,Xiamen Gaoqi International Airport
MOR31209,1. Seizure,China,9/9/2020 0:00,One ivory necklace and one bracelet (total 175.4 grams) seized at Xiamen Airport,Elephantidae,Elephants,Ivory - Worked,1.0,0.175400004,Kilograms,,,,Xiamen Gaoqi International Airport
MOR31223,1. Seizure,China,10/1/2020 0:00,2 dried Tokay Geckos seized at Guangzhou Baiyun Airport,Gekko gecko,Tokay Gecko,Individual - Dead,2.0,0.584999979,Kilograms,,,,Guangzhou Baiyun International Airport
MOR31223,1. Seizure,China,10/1/2020 0:00,2 dried Tokay Geckos seized at Guangzhou Baiyun Airport,Gekko gecko,Tokay Gecko,Body parts NES,,,,,,,Guangzhou Baiyun International Airport
MOR31237,1. Seizure,Malaysia,7/21/2020 0:00,600 Arowana fish seized at Kuala Lumpur International Airport,Scleropages formosus,"Arowana, Asian Arowana, Asian Bonytongue, Dragonfish, Golden Arowana, Golden Dragon Fish, Kelesa, Malayan Bonytongue, Pez lengüihueso malayo, Scléropage d'Asie",Individual - Live,600.0,,,,,,Kuala Lumpur International Airport
MOR31394,1. Seizure,China,4/5/2020 0:00,One giant clam shell (8.125 kg) seized at Hangzhou Xiaoshan Airport,Tridacna squamosa,"Fluted Clam, Fluted Giant Clam, Scaly Clam",Shell,1.0,8.125,Kilograms,,,,Hangzhou Xiaoshan International Airport
MOR31453,1. Seizure,China,8/12/2020 0:00,"One ivory bracelet (51.5 grams) seized at Guangzhou Baiyun Airport, one suspect",Elephantidae,Elephants,Ivory - Worked,1.0,0.0515,Kilograms,,,,Guangzhou Baiyun International Airport
MOR31454,1. Seizure,Mozambique,9/4/2020 0:00,8.6 tonnes of live crab seized at Nampula Airport,Decapoda-Brachyura,Crab,Individual - Live,,8600.0,Kilograms,,,,Nampula Airport
MOR31456,1. Seizure,Viet Nam,10/1/2020 0:00,146 Arowana fish seized at Noi Bai International Airport,Scleropages formosus,"Arowana, Asian Arowana, Asian Bonytongue, Dragonfish, Golden Arowana, Golden Dragon Fish, Kelesa, Malayan Bonytongue, Pez lengüihueso malayo, Scléropage d'Asie",Individual - Live,145.0,,,,,,Nigeria to Viet Nam in 20 cargos seized (Noi Bai International Airport
MOR31456,1. Seizure,Viet Nam,10/1/2020 0:00,146 Arowana fish seized at Noi Bai International Airport,Scleropages formosus,"Arowana, Asian Arowana, Asian Bonytongue, Dragonfish, Golden Arowana, Golden Dragon Fish, Kelesa, Malayan Bonytongue, Pez lengüihueso malayo, Scléropage d'Asie",Individual - Dead,1.0,,,,,,Nigeria to Viet Nam in 20 cargos seized (Noi Bai International Airport
MOR31457,1. Seizure,China,10/21/2020 0:00,One ivory bracelet (62.63 grams) seized at Dalian Zhoushuizi Airport,Elephantidae,Elephants,Ivory - Worked,1.0,0.06263,Kilograms,,,,Dalian Zhoushuizi International Airport
MOR31752,1. Seizure,Hong Kong,12/14/2020 0:00,"1,610 kg of American ginseng seized at Hong Kong International Airport",Panax ginseng,"Ginseng, Red Ginseng",Dead plant parts,,1610.0,Kilograms,,,,"SkyPier Terminal, Hong Kong Airport"
MOR31752,1. Seizure,Hong Kong,12/14/2020 0:00,"1,610 kg of American ginseng seized at Hong Kong International Airport",Panax ginseng,"Ginseng, Red Ginseng",Derivatives NES,162.0,,,,,,"SkyPier Terminal, Hong Kong Airport"
MOR31872,1. Seizure,Cameroon,12/4/2020 0:00,80 vipers and cobras seized at Douala International Airport,Squamata-Lacertilia,Lizards,Individual - Live,,,,,,,Douala International Airport
MOR32050,1. Seizure,China,12/3/2020 0:00,Ivory scroll heads seized at Dalian Zhoushuizi Airport,Elephantidae,Elephants,Ivory - Worked,,,,,,,Dalian Zhoushuizi International Airport
MOR32051,1. Seizure,China,12/18/2020 0:00,11 ivory combs weighing 0.637 kg seized at Guangzhou Baiyun Airport,Elephantidae,Elephants,Ivory - Worked,11.0,0.637,Kilograms,,,,Guangzhou Baiyun International Airport
MOR32054,1. Seizure,China,1/1/2021 0:00,Ivory bracelet weighing 82 grams seized at Chongqing Jiangbei Airport,Elephantidae,Elephants,Ivory - Worked,1.0,0.082,Kilograms,,,,Chongqing Jiangbei International Airport
MOR32055,1. Seizure,China,1/1/2021 0:00,3 ivory bracelets seized at Chengdu Shuangliu Airport,Elephantidae,Elephants,Ivory - Worked,3.0,0.225,Kilograms,,,,Chengdu Shuangliu International Airport
MOR32057,1. Seizure,China,12/1/2020 0:00,8 ivory products weighing 0.224 kg seized at Chengdu Shuangliu Airport,Elephantidae,Elephants,Ivory - Worked,8.0,0.224,Kilograms,,,,Chengdu Shuangliu International Airport
MOR32059,1. Seizure,China,12/1/2020 0:00,34 ivory products weighing 0.451 kg seized at Hangzhou Xiaoshan Airport,Elephantidae,Elephants,Ivory - Worked,34.0,0.45158,Kilograms,,,,Hangzhou Xiaoshan International Airport
